0,1,2,3,4
In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints
"Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date"
6.0,SN2016blz,II,'2016-04-10 10:33:36.000,57485.5
6.0,SN2010kd,SLSN-I,'2010-11-14,
6.0,SN2013ab,IIP,'2013-02-17,
6.0,SN2013ak,II,'2013-03-09,
6.0,SN2013by,IIn/IIL,'2013-04-23,
6.0,SN2015M,Ia-91T,'2015-05-13,
6.0,SN2015I,Ia,'2015-05-02,
6.0,SN2006ej,Ia,'2006-08-23,
6.0,ASASSN-14fa,Ia,,
6.0,SN2008aw,II,'2008-03-02,54526.5
6.0,SN2010F,II,'2010-01-13,
6.0,SN2008in,IIP,'2008-12-26,2454825.6
6.0,SN2009cz,Ia,'2009-04-06,
6.0,SN2014dg,Ia,'2014-09-11,
6.0,ASASSN-15og,Ia-CSM,,
5.0,ASASSN-14eu,Ia-pec?,,
5.0,SN2018is,II,'2018-01-20 15:25:55.000,x
5.0,PS15cww,IIn,,
5.0,SN2013hn,Ia,'2013-12-13,
5.0,SN2009dc,Ia-SC,'2009-04-09,
5.0,SN2013ge,Ic,'2013-11-08,56607
5.0,SN2016bln,Ia-91T/99aa,'2016-04-04 09:21:36.000,
5.0,SN2013ag,Ia,'2013-03-03,
5.0,SN2008hs,Ia,'2008-12-01,
5.0,SN2013cg,Ia,'2013-05-06,
5.0,SN2008A,Ia-02cx,'2008-01-02,
5.0,PS15br,SLSN-II,,
5.0,SN2010cr,Ia,'2010-05-15,
5.0,SN2016C,IIP,'2016-01-03 20:10:14.000,
5.0,SN2011ay,Ia-99aa?02cx?,'2011-03-18,
5.0,SN2016adi,Ia,'2016-02-03 12:53:38.000,
5.0,SN2011js,IIn,'2011-12-31,
5.0,PTF11rks,SLSN-I,,
5.0,PTF11qax,II,,
5.0,SN2011hw,Ibn,'2011-11-18,
5.0,SN2014I,Ia,'2014-01-17,
5.0,PS1-14xw,Ia,,
5.0,SN2011fs,Ia,'2011-09-15,
5.0,SN2014ap,Ia,'2014-03-20,
4.0,SN2016gfr,Ia,'2016-09-12 05:22:23.000,
4.0,SN2013bs,Ia,'2013-04-18,
4.0,SN2017gmr, II,'2017-09-04 06:23:02.000,"57,999.09 ±0.01"
4.0,SN2010ih,Ia,'2010-09-29,
4.0,SN2010ev,Ia,'2010-06-27,
4.0,SN2006bc,II,'2006-03-24,JD = 2453819.15
4.0,SN2012A,II,'2012-01-07,559 33.0
4.0,SN2012ij,Ia-91bg,'2012-12-29,
4.0,SN2005hk,Ia-02cx,'2005-10-30,53685.1-15.0
4.0,SN2015as,II,'2015-11-15,2015 November 6
4.0,SN2018zz,Ia,'2018-03-03 22:04:48.000,
4.0,SN2006E,Ia,'2006-01-12,
4.0,SN2006dm,Ia,'2006-07-03,
4.0,SN2016gfy,II,'2016-09-13 02:29:24.000,2016 Sept 9.90 UT
4.0,SN2011at,Ia,'2011-03-10,
4.0,PS15cwo,IIP,,
4.0,DES15S2nr,SLSN-I,,
4.0,SN2015ap,Ib,'2015-09-08,57271
3.0,SN2007gi,Ia,'2007-07-31,
3.0,SN2014at,Ia,'2014-04-20,
3.0,ASASSN-13dd,Ia,,
3.0,SN2016bfv,II,'2016-03-20 09:31:23.000,x
3.0,SN2016els,SLSN-I,'2016-07-29 07:55:12.000,
3.0,SN2009bw,II,'2009-03-27,
3.0,SN2013fw,Ia,'2013-10-21,
3.0,SN2012da,Ia,'2012-06-18,
3.0,SN2017gax,Ib/c,'2017-08-14 17:05:16.000,x
3.0,SN2016cok,IIP,'2016-05-28 07:06:54.000,
3.0,SN2008M,II ,'2008-01-15,x
3.0,SN2016cqj,II,'2016-06-05 13:55:12.000,x
3.0,ASASSN-15mj,Ib,,
3.0,ASASSN-13co,II,,
3.0,SN2010jp,IIn,'2010-11-11,
3.0,SN2013cv,Ia,'2013-05-20,
3.0,SN2007Y,Ibc,'2007-02-15,54145
3.0,SN2013gs,Ia,'2013-11-29,
2.0,SN2009N,IIP,'2009-01-24,x
2.0,PS15blq,SLSN-IIn,,
2.0,SN2008am,IIn,'2008-01-10,x
2.0,SN2010id,II,'2010-09-16,
2.0,SN2011iw,IIn,'2011-11-29,
2.0,SN2006mr,Ia,'2006-11-05,
2.0,SN2006dn,Ib,'2006-07-05,
2.0,PTF09dnp,Ia,,
2.0,ASASSN-15cq,Ia,,
2.0,SN2011bl,Ib/c,'2011-04-05,55656
2.0,SN2012hj,Ia,'2012-12-04,
2.0,SN2016gsb,Ia,'2016-09-29 06:43:12.000,
2.0,SN2013el,Ib,'2013-07-11,56423
2.0,ASASSN-15ut,Ia-pec,,
2.0,SN2010gn,Ia,'2010-07-07,
2.0,SN2010gx,SLSN-I,'2010-08-13,
2.0,ASASSN-15aj,Ia,,
2.0,SN2010gs,II,'2010-08-01,
2.0,SN2013am,II,'2013-03-21,
2.0,SN2010md,SLSN-I,'2010-05-15,
1.0,SN2007bb,II,'2007-04-02,x
1.0,SN2013dh,Iax,'2013-06-12,
1.0,ASASSN-14ad,Ia,,
1.0,SN2007bm,Ia,'2007-04-20,
1.0,SN2007bg,Ic-bl,'2007-04-16,16-Apr-07
1.0,SN2016euj,Ia,'2016-08-09 06:57:36.000,
1.0,SN2011ei,IIb,'2011-07-25,
1.0,SN2009hd,II,'2009-07-02,
1.0,PTF11dsf,,,
1.0,LSQ14mo,SLSN-I,,
1.0,SN2010bj,IIP,'2010-03-27,
1.0,ASASSN-14ar,Ia,,
1.0,SN2008ax,IIb,'2008-03-03,"JD = 2,454,528.80 ± 0.15"
1.0,SN2014ai,Ia,'2014-03-21,
