name,type,redshift,modulus
SN2015bn,SLSN-I,0.11,
SN2015bo,Ia-91bg,0.016195,34.144283689063776
SN2015bp,Ia-91bg,0.004069,31.77
SN2015bq,Ia-99aa,0.028,35.34710704379234
SN2015bq,Ia-91T,0.028,35.34710704379234
SN2015bq,Ia-99aa,0.028,35.34710704379234
SN2015bq,Ia-91T,0.028,35.34710704379234
SN2015dc,Ia?,0.007562,32.49059511847624
SN2015dd,Ib,0.006,31.954430323794032
SN2015F,Ia,0.00489,31.511
SN2015G,Ibn,0.00475,31.480887464347845
SN2015I,Ia,0.0076,32.49824452280932
SN2015J,IIn,0.0054,31.544007369369204
SN2015M,Ia-91T,0.0231,34.916690324510704
SN2015N,Ia,0.01492,34.443393056603284
SN2015V,II,0.004566,31.395354758513605
SN2015Z,IIn,0.028723,35.388605463998985
SN2016adi,Ia,0.015,33.96293111152075
SN2016adj,Ib,0.001825,29.40327414951081
SN2016aix,Ia-91T,0.029,
SN2016aiy,IIn,0.01,
SN2016aj,SLSN-I,0.485,
SN2016ajf,Ia-91bg,0.0203,34.63642398100804
SN2016aps,SLSN-II?,0.265,
SN2016aqf,II,0.004016,31.11646995245269
SN2016aqt,Ia-SC,0.05,
SN2016arc,Ia,0.012725,33.62081022929816
SN2016arc,Ia,0.012725,33.62081022929816
SN2016ard,SLSN-I,0.2025,
SN2016asf,Ia,0.021,34.61960048908594
SN2016B,II,0.004293,31.2612302523656
SN2016bau,Ib,0.003856,31.02812668826621
SN2016bfu,Ia-91bg,0.0104,33.18341439162938
SN2016bfv,II,0.0104,33.18341439162938
SN2016blc,Ia,0.012,
SN2016blk,Iapec,0.02997,
SN2016bln,Ia-91T/99aa,0.0235,34.932303509473215
SN2016blz,II,0.012,36.38135137039446
SN2016bmd,IIb,,
SN2016bqs,Ia,0.032916,35.68448322193215
SN2016C,IIP,0.00452,31.37303399389578
SN2016ccj,Ia-SC,0.041,36.16127361120768
SN2016ccz,Ia,0.015,33.96195844749127
SN2016cnx,Ia,0.029444,35.44240315078035
SN2016coi,Ic-BL,0.003646,30.90643832759217
